y,TN,GTC,TCH,VPCT,LS
0,110,0,25,0,0
1,150,100,24,0,1
1,163,100,40,1,0
1,150,300,36,1,1
1,445,800,44,0,1
1,325,260,47,0,0
1,294,400,56,1,1
1,213,250,35,0,0
0,70,0,27,1,0
0,80,0,29,0,0
1,375,330,33,0,1
0,145,0,45,1,0
0,67,0,36,0,0
1,165,180,45,0,1
1,255,180,35,0,1
1,350,180,52,1,0
0,165,0,23,1,0
0,70,0,26,1,0
0,100,0,42,1,0
0,90,0,31,1,1
1,215,120,24,0,1
0,60,0,28,1,1
1,255,190,34,1,0
0,105,60,33,1,0
1,285,170,38,1,0
0,170,60,30,1,0
1,174,100,31,0,1
1,305,150,42,1,1
1,205,80,48,1,1
1,175,150,44,0,0
0,180,70,41,0,0
1,205,350,57,1,0
1,295,340,56,0,0
1,153,400,55,0,1
0,130,80,23,0,1
0,126,80,34,1,0
1,505,880,48,1,0
1,415,500,45,0,1
1,225,300,37,0,1
1,110,200,42,1,1
1,215,400,44,0,0
0,109,90,40,0,0
1,153,120,50,0,1
0,125,60,48,1,0
0,76,100,32,1,0
1,375,280,38,0,0
0,143,150,45,0,0
0,79,200,26,1,1
1,235,100,40,0,0
1,154,100,50,0,0
1,305,120,55,0,1
1,205,140,51,0,1
1,120,200,38,0,0
1,145,150,35,0,0
1,295,180,38,0,1
1,265,160,34,0,1
1,225,210,31,0,0
1,120,260,45,0,1
1,152,260,60,0,1
1,255,240,37,0,1
1,150,350,48,0,0
1,210,400,46,0,1
1,130,300,27,1,1
1,235,210,54,0,0
1,145,260,56,0,0
1,255,240,38,1,0
1,135,350,61,0,0
1,215,320,44,0,1
1,149,380,36,0,0
1,235,400,36,0,0
1,275,360,35,0,0
1,205,500,54,0,0
1,238,550,57,0,0
1,280,480,51,0,1
1,239,600,36,0,0
1,155,410,48,0,1
1,222,240,31,1,0
1,120,250,47,0,0
1,106,280,45,0,1
1,180,380,66,0,0
1,145,300,60,0,0
1,130,400,37,0,1
1,131,350,55,1,0
1,154,300,59,0,1
1,182,320,40,0,0
1,140,300,44,1,0
1,285,300,43,0,1
1,145,350,61,0,1
1,235,600,40,1,1
1,165,550,40,0,0
1,239,500,66,0,1
1,255,600,66,0,1
1,235,500,50,0,1
1,205,800,47,0,1
1,201,500,50,0,0
1,205,700,60,0,1
1,225,500,58,0,0
0,130,180,34,1,0
0,131,150,35,1,0
0,127,140,32,1,0
0,184,50,28,1,1
0,195,50,26,0,0
0,165,60,25,0,0
0,265,70,36,0,0
0,210,80,43,1,0
0,133,50,27,1,0
0,155,110,25,1,1
0,128,110,45,0,0
0,215,120,33,0,0
0,213,130,31,1,0
0,184,140,56,1,1
0,310,60,55,1,0
0,129,80,26,0,0
1,165,100,45,0,0
1,145,110,46,0,0
1,155,120,47,1,1
1,130,100,43,1,0
1,120,180,42,0,1
1,190,200,36,0,0
1,180,400,38,0,1
1,165,110,37,1,0
1,155,120,45,1,0
1,130,120,47,1,0
1,120,100,57,1,0
1,145,160,58,0,0
1,155,150,53,1,0
1,245,250,45,1,1
1,215,260,36,0,1
1,235,300,37,0,0
1,195,300,56,0,1
0,145,80,45,0,0
0,135,50,32,1,0
0,126,50,31,1,0
0,133,100,34,1,0
0,130,180,26,0,1
0,130,190,25,0,0
0,180,200,24,0,0
0,170,220,29,1,0
0,155,250,34,1,1
0,170,300,37,1,1
0,180,300,45,0,0
0,163,400,54,1,0
0,235,400,30,1,0
0,170,100,58,1,0
0,255,50,38,1,0
0,265,50,44,1,1
1,255,300,35,0,1
1,165,120,36,1,0
1,130,150,37,1,0
1,130,150,31,1,0
1,120,100,43,1,1
1,155,200,42,1,1
1,170,250,41,0,1
1,145,170,50,0,1
1,135,180,29,0,0
1,165,250,28,0,1
1,150,100,24,0,1
1,163,100,40,1,0
1,150,300,36,1,1
1,445,800,44,0,1
1,325,260,47,0,0
1,294,400,56,1,1
1,213,250,35,0,0
0,70,0,27,1,0
0,80,0,29,0,0
1,375,330,33,0,1
0,145,0,45,1,0
0,67,0,36,0,0
1,165,180,45,0,1
1,255,180,35,0,1
1,350,180,52,1,0
0,165,0,23,1,0
0,70,0,26,1,0
0,100,0,42,1,0
0,90,0,31,1,1
1,215,120,24,0,1
0,60,0,28,1,1
1,255,190,34,1,0
0,105,60,33,1,0
1,285,170,38,1,0
0,170,60,30,1,0
1,174,100,31,0,1
1,305,150,42,1,1
1,205,80,48,1,1
1,175,150,44,0,0
0,180,70,41,0,0
1,205,350,57,1,0
1,295,340,56,0,0
1,153,400,55,0,1
0,130,80,23,0,1
0,126,80,34,1,0
1,505,880,48,1,0
1,415,500,45,0,1
1,225,300,37,0,1
1,110,200,42,1,1
1,215,400,44,0,0
0,109,90,40,0,0
1,153,120,50,0,1
0,125,60,48,1,0
0,76,100,32,1,0
1,375,280,38,0,0
0,143,150,45,0,0
0,79,200,26,1,1
1,235,100,40,0,0
1,154,100,50,0,0
1,305,120,55,0,1
1,205,140,51,0,1
1,120,200,38,0,0
1,145,150,35,0,0
1,295,180,38,0,1
1,265,160,34,0,1
1,225,210,31,0,0
1,120,260,45,0,1
1,152,260,60,0,1
1,255,240,37,0,1
1,150,350,48,0,0
1,210,400,46,0,1
1,130,300,27,1,1
1,235,210,54,0,0
1,145,260,56,0,0
1,255,240,38,1,0
1,135,350,61,0,0
1,215,320,44,0,1
1,149,380,36,0,0
1,235,400,36,0,0
1,275,360,35,0,0
1,205,500,54,0,0
1,238,550,57,0,0
1,280,480,51,0,1
1,239,600,36,0,0
1,155,410,48,0,1
1,222,240,31,1,0
1,120,250,47,0,0
1,106,280,45,0,1
1,180,380,66,0,0
1,145,300,60,0,0
1,130,400,37,0,1
1,131,350,55,1,0
1,154,300,59,0,1
1,182,320,40,0,0
1,140,300,44,1,0
1,285,300,43,0,1
1,145,350,61,0,1
1,235,600,40,1,1
1,165,550,40,0,0
1,239,500,66,0,1
1,255,600,66,0,1
1,235,500,50,0,1
1,205,800,47,0,1
1,201,500,50,0,0
1,205,700,60,0,1
1,225,500,58,0,0
0,130,180,34,1,0
0,131,150,35,1,0
0,127,140,32,1,0
0,184,50,28,1,1
0,195,50,26,0,0
0,165,60,25,0,0
0,265,70,36,0,0
0,210,80,43,1,0
0,133,50,27,1,0
0,155,110,25,1,1
0,128,110,45,0,0
0,215,120,33,0,0
0,213,130,31,1,0
0,184,140,56,1,1
0,310,60,55,1,0
0,129,80,26,0,0
1,165,100,45,0,0
1,145,110,46,0,0
1,155,120,47,1,1
1,130,100,43,1,0
1,120,180,42,0,1
1,190,200,36,0,0
1,180,400,38,0,1
1,165,110,37,1,0
1,155,120,45,1,0
1,130,120,47,1,0
1,120,100,57,1,0
1,145,160,58,0,0
1,155,150,53,1,0
1,245,250,45,1,1
1,215,260,36,0,1
1,235,300,37,0,0
1,195,300,56,0,1
0,145,80,45,0,0
0,135,50,32,1,0
0,126,50,31,1,0
0,133,100,34,1,0
0,130,180,26,0,1
0,130,190,25,0,0
0,180,200,24,0,0
0,170,220,29,1,0
0,155,250,34,1,1
0,170,300,37,1,1
0,180,300,45,0,0
0,163,400,54,1,0
0,235,400,30,1,0
0,170,100,58,1,0
0,255,50,38,1,0
0,265,50,44,1,1
1,255,300,35,0,1
1,165,120,36,1,0
1,130,150,37,1,0
1,130,150,31,1,0
1,120,100,43,1,1
1,155,200,42,1,1
1,170,250,41,0,1
1,145,170,50,0,1
1,135,180,29,0,0
1,165,250,28,0,1
